Trial.ID	n_total	fraction_cancer	fraction_lymph	fraction_stromal	median_cancer_KDE_knn_50	median_lymph_KDE_knn_50	median_stromal_KDE_knn_50
T001	225937	0.61	0.11	0.28	-2.96564097073464	-3.80072263501257	-3.40682620418202
T002	205031	0.38	0.18	0.44	-3.07951948754497	-3.45294529905981	-3.3430983167318
T003	189418	0.36	0.28	0.36	-3.07550630345658	-3.22169196947451	-3.24088509673484
T004	132349	0.5	0.21	0.3	-3.04201288248781	-3.34775636842823	-3.38974416752902
T005	119075	0.6	0.16	0.24	-2.94217672541872	-3.66160296719585	-3.54069105947365
T006	121201	0.47	0.12	0.41	-3.11258852788535	-3.91367807653711	-3.4021276978367
T007	136940	0.49	0.19	0.32	-3.00816003714332	-3.41646778866475	-3.42667791801238
T008	62504	0.19	0.23	0.58	-3.44747067616842	-3.3937436515189	-3.36266084443148
T009	172122	0.32	0.19	0.49	-3.19227219245574	-3.37429309893439	-3.36151461797563
T010	133792	0.32	0.11	0.57	-3.29980482701811	-3.92603996250076	-3.25790886117546
T011	136832	0.49	0.08	0.42	-3.04716310197214	-3.81519857523968	-3.3892476705854
T012	44741	0.29	0.1	0.61	-3.26324348200002	-3.9471752472944	-3.38905046361
T013	152178	0.49	0.22	0.29	-3.00829599473408	-3.44399884154488	-3.41783272296222
T014	406326	0.46	0.2	0.33	-3.01348524531298	-3.20944985096987	-3.2393868796048
T015	162070	0.44	0.38	0.18	-3.0471336332484	-3.05635367421799	-3.46186400523285
T016	135333	0.41	0.23	0.36	-3.17053272924957	-3.44444147066572	-3.40592530805196
T017	58483	0.31	0.13	0.56	-3.2777132511193	-3.82079371237309	-3.46715573956694
T018	119809	0.25	0.22	0.53	-3.50763334820136	-3.48394811017097	-3.44632815308112
T019	61054	0.25	0.13	0.61	-3.47704961703396	-3.88422574953725	-3.33395165883248
T030	175396	0.26	0.14	0.6	-3.34208626946655	-3.67058485712996	-3.25979669112679
T029	155179	0.51	0.17	0.32	-3.01181698889511	-3.53959592496276	-3.38108217848152
T028	231534	0.29	0.28	0.43	-3.20943486363646	-3.26499886246131	-3.26577066692296
T027	48292	0.31	0.26	0.43	-3.32851516233759	-3.50318577223438	-3.46003170077162
T026	243379	0.35	0.41	0.24	-3.15170613907444	-3.07815761770336	-3.20909842032613
T025	140750	0.45	0.12	0.43	-3.17144996153985	-3.83378352847887	-3.38369721957508
T024	80419	0.43	0.14	0.42	-3.00250141808189	-3.47628955772041	-3.41025469020352
T023	161663	0.41	0.23	0.36	-3.11883149241707	-3.42377157670887	-3.35240393354602
T022	194800	0.35	0.12	0.52	-3.19916096869335	-3.73663600591142	-3.29828734893016
T020	140931	0.39	0.16	0.45	-3.17462202600575	-3.65461130658576	-3.28319554302281
T031	133917	0.2	0.52	0.28	-3.43013198365421	-2.97477582223329	-3.46996113619645
T032	135831	0.39	0.26	0.34	-3.17113458338275	-3.35736527091529	-3.35806023219987
T033	97635	0.32	0.27	0.41	-3.20680921724877	-3.32883191598507	-3.27116202137754
T035	95535	0.38	0.38	0.23	-3.14173413954534	-3.10306923169963	-3.4865359919153
T036	180243	0.29	0.37	0.34	-3.2531742315119	-3.11624137981788	-3.31076004719568
T037	217047	0.44	0.21	0.35	-3.12444774930089	-3.47659137382271	-3.32790239838995
T038	151894	0.26	0.34	0.4	-3.3513818639784	-3.05366148289323	-3.29534770180775
T039	110734	0.44	0.19	0.38	-3.04833651958583	-3.54135995620053	-3.31228138203137
T040	156865	0.37	0.1	0.53	-3.10764392736303	-3.83904532120031	-3.30745729075665
T041	120785	0.54	0.12	0.34	-2.95474150330712	-3.65490887829199	-3.25342356090265
T042	212032	0.34	0.22	0.44	-3.19736022971737	-3.35090963013069	-3.30063973505094
T043	163129	0.3	0.11	0.59	-3.23167788005136	-3.62402023726424	-3.15114831268855
T044	116017	0.49	0.31	0.2	-2.98822818042305	-3.23687707460192	-3.46120306967064
T045	210927	0.24	0.24	0.52	-3.38223845227136	-3.33988625912124	-3.25973560103063
T046	90199	0.19	0.3	0.52	-3.32823275652227	-3.28842718059026	-3.24798558493743
T047	16194	0.13	0.18	0.7	-3.75254883362921	-3.81246753639577	-3.59023450048255
T048	156546	0.35	0.18	0.47	-3.02321603028162	-3.4442173827451	-3.20127820235721
T049	167017	0.35	0.36	0.29	-3.0986385043228	-3.18808774959619	-3.37285386774302
T050	67231	0.26	0.24	0.49	-3.12840533067626	-3.40149151853639	-3.28248432142596
T051	114041	0.37	0.15	0.48	-3.0796153415219	-3.75737406003302	-3.35677205745973
T052	55209	0.18	0.1	0.71	-3.50100798182044	-3.96180800409447	-3.40295598664798
T053	145586	0.41	0.14	0.45	-3.06101410795705	-3.62854972434179	-3.24425926326692
T054	83147	0.29	0.12	0.59	-3.37358643081218	-3.85295234718542	-3.28595910438094
T055	44379	0.31	0.14	0.55	-3.15605130075288	-3.57842813546348	-3.32130775376714
T056	22113	0.18	0.21	0.6	-3.55385334844116	-3.69097572404298	-3.43136155203009
T057	144706	0.34	0.16	0.5	-3.16653383677665	-3.61044506528064	-3.23576403378876
T058	19897	0.23	0.25	0.52	-3.3753410049907	-3.57203110944319	-3.39376978725075
T059	43722	0.31	0.18	0.51	-3.20673713053385	-3.61395708717242	-3.48195874483265
T060	168368	0.39	0.15	0.47	-3.1183625565352	-3.5580681166067	-3.18381668713078
T062	52273	0.14	0.17	0.69	-3.5052587128067	-3.5128964479214	-3.40229216214817
T064	132194	0.49	0.24	0.27	-3.02371853565252	-3.40539233472653	-3.32420358875884
T065	76030	0.16	0.23	0.61	-3.68603487318532	-3.55760547195823	-3.30997449675582
T066	111708	0.27	0.12	0.6	-3.29975727754652	-3.77632478782147	-3.30636741666829
T067	124406	0.34	0.18	0.48	-3.21006353202978	-3.56380248164429	-3.27329062211354
T068	103321	0.29	0.23	0.48	-3.41106289395081	-3.47564547319213	-3.36238628616014
T069	84015	0.3	0.11	0.6	-3.18133963699189	-3.75429183796283	-3.30014684247191
T070	204554	0.41	0.2	0.39	-2.99226155626634	-3.43026343963625	-3.25194563456842
T071	109256	0.25	0.13	0.62	-3.29269200246096	-3.52943956958663	-3.25118644995767
T072	108131	0.17	0.18	0.65	-3.56210943345498	-3.39613804234125	-3.27236239068926
T073	156609	0.35	0.33	0.32	-3.14083929652221	-3.16082851156826	-3.36587019501032
T074	142920	0.27	0.39	0.33	-3.14736542883248	-3.13837451239689	-3.32869879461137
T075	48465	0.28	0.36	0.36	-3.34037305350006	-3.28652593144991	-3.42797290129081
T076	84351	0.16	0.3	0.53	-3.57181675021848	-3.17260656571227	-3.34089017019592
T077	183876	0.31	0.41	0.28	-3.10876557520879	-3.09507201586442	-3.34301645835633
T078	110905	0.38	0.11	0.51	-3.09504475670189	-3.74328463541529	-3.31041017445165
T079	84813	0.36	0.18	0.46	-3.13069131950385	-3.58356833665111	-3.30364613041117
T080	139628	0.38	0.27	0.35	-3.19257479279581	-3.33867185250789	-3.35575747944123
T061	80323	0.46	0.1	0.45	-3.05433758962174	-3.82674901775477	-3.37346283486903
T083	69452	0.26	0.05	0.68	-3.19359397983059	-3.80526460701912	-3.02489844128919
T086	94092	0.08	0.08	0.84	-3.80979906012549	-3.82966353596187	-3.03407862604546
T087	125510	0.21	0.14	0.66	-3.30139145167315	-3.5611570514893	-3.091139893256
T088	179556	0.22	0.12	0.66	-3.22437519216802	-3.54117144698809	-3.02482908830977
T089	113315	0.16	0.15	0.69	-3.6441362226933	-3.63682444628168	-3.18012303390947
T090	12519	0.04	0.04	0.92	-4.34675109413053	-4.82999687149818	-3.34919952856872
T091	73729	0.21	0.14	0.64	-3.31019333009537	-3.62586455569165	-3.07401800027012
